"","vapourpres_h09","time"
"719",8.8935546875,1981-12-19
"720",9.2939453125,1981-12-20
"721",9.6337890625,1981-12-21
"722",12.1337890625,1981-12-22
"723",10.93359375,1981-12-23
"724",9.7041015625,1981-12-24
"725",8.00390625,1981-12-25
"726",10.3935546875,1981-12-26
"727",14.404296875,1981-12-27
"728",12.1435546875,1981-12-28
"729",8.3642578125,1981-12-29
"730",15.2744140625,1981-12-30
"731",15.154296875,1981-12-31
"732",11.390625,1982-01-01
"733",17.2109375,1982-01-02
"734",18.6806640625,1982-01-03
"735",17.44140625,1982-01-04
"736",21.0712890625,1982-01-05
"737",8.470703125,1982-01-06
"738",9.2607421875,1982-01-07
"739",7.6611328125,1982-01-08
"740",9.8408203125,1982-01-09
"741",9.9208984375,1982-01-10
"742",13.4609375,1982-01-11
"743",12.30078125,1982-01-12
"744",11.140625,1982-01-13
"745",9.28125,1982-01-14
"746",13.390625,1982-01-15
"747",10.6005859375,1982-01-16
"748",7.861328125,1982-01-17
"749",14.130859375,1982-01-18
"750",21.62109375,1982-01-19
"751",26.4814453125,1982-01-20
"752",21.8505859375,1982-01-21
"753",25.7607421875,1982-01-22
"754",19.361328125,1982-01-23
"755",16.9609375,1982-01-24
"756",9.951171875,1982-01-25
"757",7.470703125,1982-01-26
"758",7.78125,1982-01-27
"759",6.3505859375,1982-01-28
"760",13.140625,1982-01-29
"761",11.771484375,1982-01-30
"762",8.720703125,1982-01-31
"763",7.7138671875,1982-02-01
"764",13.59375,1982-02-02
"765",6.50390625,1982-02-03
"766",6.57421875,1982-02-04
"767",6.3837890625,1982-02-05
"768",7.0341796875,1982-02-06
"769",7.9736328125,1982-02-07
"770",13.494140625,1982-02-08
"771",12.564453125,1982-02-09
"772",13.6142578125,1982-02-10
"773",12.2138671875,1982-02-11
"774",11.173828125,1982-02-12
"775",10.244140625,1982-02-13
"776",11.2744140625,1982-02-14
"777",5.2939453125,1982-02-15
"778",6.744140625,1982-02-16
"779",10.3935546875,1982-02-17
"780",15.82421875,1982-02-18
"781",22.5537109375,1982-02-19
"782",15.57421875,1982-02-20
"783",11.82421875,1982-02-21
"784",21.173828125,1982-02-22
"785",19.8740234375,1982-02-23
"786",16.1142578125,1982-02-24
"787",10.7744140625,1982-02-25
"788",18.0244140625,1982-02-26
"789",18.6337890625,1982-02-27
"790",14.18359375,1982-02-28
"791",12.314453125,1982-03-01
"792",12.25390625,1982-03-02
"793",12.2041015625,1982-03-03
"794",15.6640625,1982-03-04
"795",22.513671875,1982-03-05
"796",22.673828125,1982-03-06
"797",30.0439453125,1982-03-07
"798",15.1240234375,1982-03-08
"799",12.8935546875,1982-03-09
"800",12.564453125,1982-03-10
"801",11.734375,1982-03-11
"802",12.3642578125,1982-03-12
"803",9.494140625,1982-03-13
"804",8.50390625,1982-03-14
"805",12.9541015625,1982-03-15
"806",13.423828125,1982-03-16
"807",14.314453125,1982-03-17
"808",15.263671875,1982-03-18
"809",12.2939453125,1982-03-19
"810",14.244140625,1982-03-20
"811",12.064453125,1982-03-21
"812",8.43359375,1982-03-22
"813",9.814453125,1982-03-23
"814",10.5537109375,1982-03-24
"815",11.07421875,1982-03-25
"816",10.1337890625,1982-03-26
"817",10.9541015625,1982-03-27
"818",9.333984375,1982-03-28
"819",9.8642578125,1982-03-29
"820",9.7744140625,1982-03-30
"821",11.34375,1982-03-31
"822",11.8671875,1982-04-01
"823",10.2265625,1982-04-02
"824",9.9169921875,1982-04-03
"825",12.2470703125,1982-04-04
"826",11.4970703125,1982-04-05
"827",9.88671875,1982-04-06
"828",9.3173828125,1982-04-07
"829",13.5673828125,1982-04-08
"830",11.857421875,1982-04-09
"831",8.5166015625,1982-04-10
"832",9.966796875,1982-04-11
"833",10.9970703125,1982-04-12
"834",14.037109375,1982-04-13
"835",12.9072265625,1982-04-14
"836",13.13671875,1982-04-15
"837",12.716796875,1982-04-16
"838",14.77734375,1982-04-17
"839",11.806640625,1982-04-18
"840",14.037109375,1982-04-19
"841",11.5068359375,1982-04-20
"842",13.8671875,1982-04-21
"843",15.4873046875,1982-04-22
"844",16.70703125,1982-04-23
"845",14.6767578125,1982-04-24
"846",11.1171875,1982-04-25
"847",8.4169921875,1982-04-26
"848",8.197265625,1982-04-27
