"","site_location_name","ignition_d","OBJECTID","fire_id","fire_name","capture_da","extinguish","fire_type","ignition_c","capt_metho","area_ha","perim_km","state","agency","Shape__Are","Shape__Len","Data_Source.x","BurnDate","FirstDay","LastDay","Data_Source.y"
"85","WAAPIL0007",2005-11-24,57838,"999","",NA,"","Unknown","","Landsat",53478,1683,"WA (Western Australia)","WA DFES",0.051826146374651,6.75195507089873,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"86","WAAVIB0001",2018-05-14,261639,"BF 2017 EKM 050","Matinea flat West",NA,"","Unknown","","Unknown",994,26,"WA (Western Australia)","WA DFES",0.000837500113448,0.234999952000183,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"87","VCAAUA0013",1998-01-01,180440,"031","",NA,"","Bushfire","","",34121,174,"VIC (Victoria)","VIC DEECA",0.034740156539556,1.76818779208926,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"88","VCAAUA0014",1998-01-01,180440,"031","",NA,"","Bushfire","","",34121,174,"VIC (Victoria)","VIC DEECA",0.034740156539556,1.76818779208926,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"89","NSANAN0001",2006-11-14,126440,"RFS-18867","Paleroo Creek Fire",NA,"2007/01/18","Bushfire","","",13327,152,"NSW (New South Wales)","NSW PWS",0.013339343658572,1.24222882372265,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"90","NSANAN0002",2006-11-14,126440,"RFS-18867","Paleroo Creek Fire",NA,"2007/01/18","Bushfire","","",13327,152,"NSW (New South Wales)","NSW PWS",0.013339343658572,1.24222882372265,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"91","QDAMGD0027",2009-11-11,167841,"","Camooweal Caves National Park/2009/W/1",NA,"","Bushfire","","",51327,206,"QLD (Queensland)","QPWS",0.044316562702306,1.91498093520507,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"92","QDAMII0002",2009-11-11,167841,"","Camooweal Caves National Park/2009/W/1",NA,"","Bushfire","","",51327,206,"QLD (Queensland)","QPWS",0.044316562702306,1.91498093520507,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"93","WAAJAF0002",2004-05-07,122840,"F_113","F_113",NA,"","Prescribed Burn","","Aerial photography",914,27,"WA (Western Australia)","WA DFES",0.000898275542795,0.2788357648566,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"94","NSTSYB0001",2002-07-03,263042,"","Apple Tree Creek",NA,"","Prescribed Burn","","",201,23,"NSW (New South Wales)","NSW PWS",0.000195763878764,0.233765034876471,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"95","WAADAL0001",2008-04-21,128642,"DVR 01/08_AUTUMN","DVR 01/08_AUTUMN",NA,"","Prescribed Burn","","Aerial photography",2022,38,"WA (Western Australia)","WA DFES",0.001719282839758,0.356121243153292,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"96","WAAVIB0001",2017-07-09,68041,"BF 2017 EKM 002","Parry Lagoons",NA,"","Unknown","","Unknown",1647,45,"WA (Western Australia)","WA DFES",0.001387499918906,0.410000167004926,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"97","SAAEYB0008",1956-02-22,19842,"0","",NA,"","Bushfire","","Aerial photography",7441,119,"SA (South Australia)","SA DEW",0.007354519645105,1.17520094631214,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"98","WAADAL0005",2014-08-11,298243,"4","Coulomb Point",NA,"","Bushfire","Incendiary","MODIS",423615,2115,"WA (Western Australia)","WA DFES",0.390537501225936,10.020000393,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"99","QDAEIU0004",2005-12-13,110044,"","Blackbraes Regional Park/2005/W/2",NA,"","Bushfire","","",16011,104,"QLD (Queensland)","QPWS",0.013773329812238,0.961462658343705,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"100","SAAKAN0009",2007-12-06,7447,"200712066","Destrees",NA,"","Bushfire","","Aerial photography",16287,244,"SA (South Australia)","SA DEW",0.016834163599469,1.62455350437027,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"101","WAAPIL0031",2019-09-05,286848,"999","",NA,"","Unknown","","Landsat",311,14,"WA (Western Australia)","WA DFES",0.000279472415514,0.112809556824578,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"102","WAAJAF0001",1980-09-16,37848,"999","",NA,"","Prescribed Burn","","Aerial photography",7841,45,"WA (Western Australia)","WA DFES",0.007709586998772,0.452836282476634,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"103","QDABBS0001",2009-10-31,161050,"","Carnarvon National Park/2010/W/1",NA,"","Bushfire","","",136629,350,"QLD (Queensland)","QPWS",0.121886487808297,3.30059712372537,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"104","QDABBS0004",2009-10-31,161050,"","Carnarvon National Park/2010/W/1",NA,"","Bushfire","","",136629,350,"QLD (Queensland)","QPWS",0.121886487808297,3.30059712372537,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"105","QDABBS0005",2009-10-31,161050,"","Carnarvon National Park/2010/W/1",NA,"","Bushfire","","",136629,350,"QLD (Queensland)","QPWS",0.121886487808297,3.30059712372537,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"106","WAAVIB0002",2014-05-08,206050,"EKM_007","Parry Lagoons Nature Res",NA,"","Prescribed Burn","","Multiple",5341,99,"WA (Western Australia)","WA DFES",0.006115987175463,0.680817204065543,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"107","SAAKAN0009",2021-06-01,53050,"865","Emmets Track Seal Bay",NA,"","Prescribed Burn","","Unknown",8,4,"SA (South Australia)","SA DEW",8.229179457e-06,0.042684638837207,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"108","WAANOK0007",2012-04-30,163051,"K015","OOMBULGURRI - DRYSDALE NP",NA,"","Prescribed Burn","","Landsat",1393749,927,"WA (Western Australia)","WA DFES",1.19998727952725,7.08557849560253,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"109","NSTSYB0006",2003-01-06,46852,"BMS-02-069","Mt Budgary",NA,"2003/02/18","Bushfire","","",7879,65,"NSW (New South Wales)","NSW PWS",0.007630052364675,0.631505273872256,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"110","SAAKAN0005",1953-12-31,175053,"0","",NA,"","Bushfire","","Unknown",43298,156,"SA (South Australia)","SA DEW",0.043616069597647,1.38174815889435,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"111","SAAKAN0006",1953-12-31,175053,"0","",NA,"","Bushfire","","Unknown",43298,156,"SA (South Australia)","SA DEW",0.043616069597647,1.38174815889435,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"112","SAAKAN0009",2022-11-08,262455,"865","Emmets Track Seal Bay",NA,"","Prescribed Burn","","Unknown",45,7,"SA (South Australia)","SA DEW",4.9021122322e-05,0.033233043365003,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"113","QDABBS0002",2009-09-14,76855,"","Oakvale State Forest/2009/W/1",NA,"","Bushfire","","",343606,385,"QLD (Queensland)","QPWS",0.307988244343733,3.64849288452904,"Historical_BushFires_Boundaries",NA,NA,NA,NA
"114","QDABBS0003",2009-09-14,76855,"","Oakvale State Forest/2009/W/1",NA,"","Bushfire","","",343606,385,"QLD (Queensland)","QPWS",0.307988244343733,3.64849288452904,"Historical_BushFires_Boundaries",NA,NA,NA,NA
