,Group_Code
WAACOO0035,6
WAACOO0036,6
WAACOO0037,6
WAACOO0038,6
WAADAL0001,2
WAADAL0002,2
WAADAL0003,2
WAADAL0004,2
WAADAL0005,2
WAAESP0001,5
WAAGAS0001,6
WAAGAS0002,6
WAAGES0001,5
WAAGES0002,5
WAAGES0003,5
WAAGES0004,5
WAAGES0005,5
WAAGSD0001,6
WAAGSD0002,6
WAAGSD0003,6
WAAGSD0004,6
WAAGVD0001,6
WAAGVD0002,6
WAAGVD0003,6
WAAGVD0004,6
WAAGVD0006,6
WAAGVD0007,6
WAAGVD0008,6
WAAGVD0009,6
WAAGVD0010,6
WAAGVD0011,6
WAAGVD0012,6
WAAGVD0013,6
WAAGVD0014,6
WAAGVD0015,6
WAAGVD0016,6
WAAGVD0017,6
WAAHAM0001,6
WAAHAM0002,6
WAAHAM0003,6
WAAHAM0004,6
WAAHAM0005,6
WAAHAM0006,6
WAAJAF0001,5
WAAJAF0002,5
WAAJAF0003,5
WAAJAF0004,5
WAAJAF0005,5
WAAJAF0006,5
WAAJAF0007,5
WAAJAF0008,5
WAAJAF0009,5
WAAJAF0010,5
WAAJAF0011,5
WAAJAF0012,5
WAALSD0001,6
WAALSD0002,6
WAALSD0003,6
WAALSD0004,6
WAAMAL0001,6
WAAMAL0002,5
WAAMAL0003,5
WAAMAL0004,5
WAAMUR0001,6
WAAMUR0002,6
WAAMUR0003,6
WAAMUR0004,6
WAAMUR0005,6
WAAMUR0006,6
WAAMUR0007,6
WAAMUR0008,6
WAAMUR0009,6
WAAMUR0011,6
WAAMUR0012,6
WAAMUR0013,6
WAAMUR0028,6
WAAMUR0029,6
WAAMUR0030,6
WAAMUR0031,6
WAANOK0001,1
WAANOK0002,1
WAANOK0003,1
WAANOK0004,1
WAANOK0005,1
WAANOK0006,1
WAANOK0007,1
WAANOK0008,1
WAANUL0001,6
WAANUL0002,6
WAANUL0003,6
WAANUL0004,6
WAANUL0005,6
WAANUL0006,6
WAANUL0007,6
WAANUL0008,6
WAANUL0009,6
WAAPIL0001,6
WAAPIL0002,6
WAAPIL0003,6
WAAPIL0004,6
WAAPIL0005,6
WAAPIL0006,6
WAAPIL0007,6
WAAPIL0008,6
WAAPIL0009,6
WAAPIL0010,6
WAAPIL0011,6
WAAPIL0012,6
WAAPIL0013,6
WAAPIL0014,6
WAAPIL0015,6
WAAPIL0016,6
WAAPIL0017,6
WAAPIL0018,6
WAAPIL0019,6
WAAPIL0020,6
WAAPIL0021,6
WAAPIL0022,6
WAAPIL0023,6
WAAPIL0024,6
WAAPIL0025,6
WAAPIL0026,6
WAAPIL0027,6
WAAPIL0028,6
WAAPIL0029,6
WAAPIL0030,6
WAAPIL0031,6
WAAPIL0032,6
WAAPIL0033,6
WAAPIL0034,6
WAAPIL0035,6
WAASWA0001,5
WAASWA0002,5
WAASWA0003,5
WAASWA0004,5
WAASWA0005,5
WAASWA0006,5
WAASWA0007,5
WAASWA0008,5
WAASWA0009,5
WAASWA0010,5
WAASWA0011,5
WAASWA0012,5
WAASWA0013,5
WAASWA0014,5
WAAVIB0001,2
WAAVIB0002,2
WAAVIB0003,2
WAAVIB0004,2
WAAYAL0001,6
WAAYAL0002,6
