,site_location_name,M1_Negatives,M2_Negatives
700,WAAVIB0002,6,8
701,WAAVIB0003,3,3
702,WAAVIB0004,8,9
703,WAAYAL0001,23,43
704,WAAYAL0002,27,50
705,WAAYAL0003,27,50
706,WAAYAL0004,27,50
707,WAAYAL0005,25,46
708,WAAYAL0006,13,22
709,WAAYAL0007,9,15
710,WAAYAL0008,11,17
711,WAGCOO0001,5,6
712,WAGCOO0004,3,4
