"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","grass","shrub","tree","vegetation_type"
"98","NTABRT0002",0,0,0.4,0,0,0.35,3.8,0,0,0,0,0,0,0,33.8,0,0,0,12,18.15,0,21.95,34.2,12,"shrub"
"99","NTABRT0003",0,0,0.05,0,0,0.1,4.7,0,0,0,10.5,0,0,0,20.05,0,0,0,11.2,18.1,0,33.3,20.1,11.2,"grass"
"100","NTABRT0004",0,0,0.7,0,0,0,6.2,0,0,0,2,0,0,0,29.2,0,0,0,0,15.2,0,23.4,29.9,0,"shrub"
"101","NTABRT0005",0,0,0,0,0,0,6.5,0,0,0,11.1,0,0,0,1.75,0,0,0,1.15,19.8,0,37.4,1.75,1.15,"grass"
"102","NTABRT0006",0,0,0,0,0,0,11.65,0,0,0,0.75,0,0,0,32.55,0,0,0,1.05,16.6,0.3,29,32.85,1.05,"shrub"
"103","NTABRT0007",0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,1,0,0,0,0.3,33.1,0,37.3,1,0.3,"grass"
"104","NTABRT0008",0,0,0,0,0,0,4.5,0,0,0,6.3,0,0,0,17,0.1,0,0,0,0.1,0,10.9,17.1,0,"shrub"
"105","NTADAC0001",0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,19.7,0,0,0,29.8,77.8,2,79.1,21.7,29.8,"grass"
"106","NTADAC0002",0,0,0,0,0,0,15.3,0,0,0,0,0,0,0.1,24.1,0,0,0.1,26.6,24.7,0,40.1,24.1,26.7,"grass"
"107","NTADMR0001",0,0,0,0,0,0,0.1,0,0,0.1,19,0,0,1.9,4.4,0,0,0,0.1,1.2,0.3,22.2,4.8,0.1,"grass"
"108","NTADMR0002",0,0,0,0,0,0,0.7,0,0,0,24,0,0,0.2,1.4,1.5,0,0.4,0,0.6,0,25.5,2.9,0.4,"grass"
