"","X","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter","pv_filter_percentile","npv_filter_percentile","bs_filter_percentile"
"71",71,"NSAMDD0029-57088",19.9,54.8,25.3,NA,4,"NSAMDD0029","2014-08-14","2014-08-08",18.1685122895341,47.1744516272661,33.2937132644021,0.629050279329609,0.764245810055866,0.297206703910615
"72",72,"NSAMDD0030-56989",27.6,52.3,20.1,NA,4,"NSAMDD0030","2014-08-14","2014-08-08",24.4643172146164,44.6122867575217,29.5170259811487,0.521444695259594,0.68961625282167,0.432279909706546
"73",73,"NSAMDD0031-58572",31.2,44.7,24.1,0.1,0,"NSAMDD0031","2018-04-11","2018-04-14",25.1730627473624,49.3808363978569,24.1867461743587,0.406947890818859,0.503722084367246,0.559553349875931
"74",74,"NSAMDD0032-58573",36.6,51,12.4,NA,4,"NSAMDD0032","2018-04-12","2018-04-14",24.2815798209684,54.2986005629725,20.4042431687016,0.346437346437346,0.615479115479115,0.66953316953317
"75",75,"NSAMUL0001-58549",20.6,43.7,35.7,NA,4,"NSAMUL0001","2018-04-14","2018-04-13",18.2197723587015,45.6430429735315,34.854963663782,0.349780701754386,0.184210526315789,0.776315789473684
"76",76,"NSAMUL0002-58559",35.1,35.3,29.3,0.2,0,"NSAMUL0002","2018-04-14","2018-04-13",20.479296181112,43.1454179850013,35.0464724903527,0.575192096597146,0.59165751920966,0.443468715697036
"77",77,"NSAMUL0003-58550",22.2,28.8,49,NA,4,"NSAMUL0003","2018-04-15","2018-04-13",18.2850219424814,40.0078278805455,40.3060287311729,0.275330396475771,0.126651982378855,0.879955947136564
"78",78,"NSAMUL0004-58560",39.7,32.5,27.8,NA,4,"NSAMUL0004","2018-04-15","2018-04-13",10.8516363832494,52.994089131733,34.9091515573364,0.183129855715871,0.264150943396226,0.93118756936737
"79",79,"NSANAN0001-58583",79.2,20.7,0.1,NA,4,"NSANAN0001","2018-05-16","2018-05-17",58.3388218549509,29.6394080952741,10.3804710855005,0.512510088781275,0.145278450363196,0.783696529459241
"80",80,"NSANAN0002-58561",44.1,41.9,14.1,NA,4,"NSANAN0002","2018-05-16","2018-05-17",47.773652606885,38.0902371504974,12.7677041154717,0.143548387096774,0.644354838709677,0.819354838709677
"81",81,"NSANET0001-58584",58.9,31.9,9.2,NA,4,"NSANET0001","2018-05-18","2018-05-18",50.6075128172749,40.8629334555829,7.31865724229058,0.949197860962567,0.156417112299465,0.386363636363636
"82",85,"NSANSS0001-58579",71.7,27.9,0.4,NA,4,"NSANSS0001","2018-05-09","2018-05-09",57.0030087492821,33.5020949980145,7.88770218787173,0.572171651495449,0.313394018205462,0.713914174252276
"83",86,"NSANSS0002-58562",61,34.8,4.2,0.1,0,"NSANSS0002","2018-05-09","2018-05-09",52.4518412383386,35.546990622436,10.4025326688715,0.668341708542714,0.162060301507538,0.806532663316583
"84",87,"NSTNSS0001-57641",56.5,33.3,10.2,NA,4,"NSTNSS0001","2015-11-18","2015-11-18",45.255645921995,43.0119805023695,10.1163249511989,0.450304259634888,0.533468559837728,0.586206896551724
"85",88,"NSTSYB0001-58122",82.9,15.4,1.5,0.2,0,"NSTSYB0001","2015-11-11","2015-11-19",64.4560512071252,29.2764297621839,4.71772135672994,0.751608751608752,0.38996138996139,0.297297297297297
"86",89,"NSTSYB0002-58008",88.8,10.4,0.7,0.1,0,"NSTSYB0002","2015-11-12","2015-11-19",65.8149893450104,18.8537546804913,14.1126325107891,0.65315852205006,0.0774731823599523,0.852205005959476
"87",90,"NSTSYB0003-58414",85.1,13.8,1.1,NA,4,"NSTSYB0003","2015-11-14","2015-11-18",58.9837140905727,34.4201993475091,5.08569312172881,0.816640986132512,0.291217257318952,0.317411402157165
