"","site_unique","green","brown","bare","other","error","site_location_name","visit_start_date","time","pv_filter","npv_filter","bs_filter"
"93","NSTSYB0006-58502",74.5,25.1,0.3,0.1,0,"NSTSYB0006",2015-11-19,2015-11-18,57.7169836572553,32.584889975589,7.99454144926161
"94","NSTSYB0007-58496",80.9,19,0.1,NA,4,"NSTSYB0007",2015-11-20,2015-11-18,54.4131814976182,37.1957665565614,6.77467931547053
"95","NSTSYB0008-58503",69.1,30.4,0.4,0.1,0,"NSTSYB0008",2015-11-21,2015-11-18,47.9386284645704,45.7500796824095,5.03984108607628
"96","NSTSYB0009-57649",78.7,16.5,4.8,NA,4,"NSTSYB0009",2015-11-20,2015-12-04,54.4352118632959,26.1695060187288,13.6906602036788
"97","NTAARP0001-58422",68.4,28.3,3.3,NA,4,"NTAARP0001",2016-06-02,2016-05-30,60.2148809923895,34.8006593238332,3.2772047761044
"98","NTAARP0002-58423",50,41,9,NA,4,"NTAARP0002",2016-06-02,2016-05-30,39.9135255868942,49.3908585738233,9.4043340044874
"99","NTAARP0003-58424",34.2,40.4,25.4,NA,4,"NTAARP0003",2016-06-03,2016-05-30,36.6257738004974,43.7419794988228,18.271283979176
"100","NTAARP0004-58918",49.2,19.3,10.8,20.7,0,"NTAARP0004",2021-06-06,2021-06-06,42.468227335094,44.3793210143763,11.7637994100825
"101","NTAARP0004-58932",85.5,9.7,4.8,0,0,"NTAARP0004",2018-03-04,2018-03-10,70.8406015424098,26.2895204640521,1.30342915598314
"102","NTAARP0005-58919",75.3,21.6,2.7,0.4,0,"NTAARP0005",2021-06-04,2021-06-06,57.7988341379896,38.9559182922283,1.80552577453479
"103","NTAARP0005-58933",76.6,13.6,9.8,0,0,"NTAARP0005",2018-03-23,2018-03-18,56.0915614107171,34.411348481235,8.03392122583178
"104","NTABRT0001-53616",48.5,33.3,18.2,NA,4,"NTABRT0001",2012-03-19,2012-04-03,15.0290123122245,52.5467381420493,31.2956569947706
"105","NTABRT0001-58861",41,33.8,25.2,NA,4,"NTABRT0001",2020-08-01,2020-07-30,13.5256538678244,46.1898272678928,39.0482639359954
"106","NTABRT0002-53617",61.5,25.7,11.8,1,0,"NTABRT0002",2012-03-21,2012-04-03,15.6639153310781,54.6658801337899,28.5041455413387
"107","NTABRT0002-58862",43.9,41.3,14.9,0,0,"NTABRT0002",2020-07-31,2020-07-30,12.7186453252611,50.7649995128634,35.3326694590187
"108","NTABRT0003-53618",54.8,30.6,14.7,0,0,"NTABRT0003",2012-03-22,2012-04-03,14.6215783700282,54.768317853449,29.5430306277785
"109","NTABRT0003-58872",42.8,44.4,12.8,0.1,0,"NTABRT0003",2020-08-01,2020-07-30,11.8012629649405,51.9996504907214,34.9204129814514
"110","NTABRT0004-53619",46.5,31.4,22.1,0,0,"NTABRT0004",2012-03-23,2012-04-03,18.0204051674436,51.7323332454533,29.0738652248233
"111","NTABRT0004-58873",26.6,53.6,19.5,0.3,0,"NTABRT0004",2020-08-08,2020-08-07,13.6136180933887,46.4874103292912,38.6170259377021
"112","NTABRT0005-53620",44,19.4,36.6,NA,4,"NTABRT0005",2012-03-24,2012-03-27,18.2179777527865,42.9996557108437,37.313994466891
"113","NTABRT0005-58863",27,15.1,57.8,NA,4,"NTABRT0005",2020-08-02,2020-07-31,19.0188166621249,20.6108684061048,58.6149790616995
"114","NTABRT0006-53621",38.8,43.6,17.6,NA,4,"NTABRT0006",2012-03-24,2012-04-03,19.2858656823024,49.6747212539708,29.683465038569
"115","NTABRT0006-58864",36.5,49.3,14.2,NA,4,"NTABRT0006",2020-08-08,2020-08-07,12.1911693926441,50.0902399894228,36.3436273538267
"116","NTABRT0007-58865",17.6,38.7,43.7,NA,4,"NTABRT0007",2020-08-07,2020-08-07,11.234876449658,39.0016896158479,48.178813317738
"117","NTABRT0008-58866",15.6,37.9,46.2,0.2,0,"NTABRT0008",2020-08-09,2020-08-07,8.30077388596288,36.6879711253332,53.4196545571832
"118","NTADAC0001-53518",58.4,41.2,0.4,NA,4,"NTADAC0001",2013-05-28,2013-05-29,46.0634849326731,48.6608355524692,4.17147781698803
"119","NTADAC0002-58039",66,24.6,9.2,0.2,0,"NTADAC0002",2016-05-06,2016-05-06,60.827748886811,34.3372880988929,3.32593777739239
"120","NTADMR0001-58868",24,30.7,45.2,0.1,0,"NTADMR0001",2020-08-03,2020-07-31,12.7678005840434,33.2527461611368,52.3231955623974
"121","NTADMR0002-58869",22.7,15.6,61,0.7,0,"NTADMR0002",2020-08-04,2020-08-07,4.33506489640326,33.3510954989233,60.66054282404
"122","NTAFIN0001-53519",7.4,53.3,39.3,0,0,"NTAFIN0001",2011-10-20,2011-10-19,0,69.8268339259354,30.142777372262
"123","NTAFIN0001-58009",12.2,43.4,44.4,0.1,0,"NTAFIN0001",2016-03-04,2016-02-27,6.75676190221064,28.0549992956868,63.4134922434486
"124","NTAFIN0001-58735",17,24.9,57.6,0.5,0,"NTAFIN0001",2019-05-26,2019-05-26,7.84568910543322,18.1312565073514,72.2869937384958
"125","NTAFIN0002-53622",75.1,19.2,5.6,0,0,"NTAFIN0002",2011-09-23,2011-09-17,12.07831654929,70.0443718960361,16.4610148740437
"126","NTAFIN0002-58018",44.9,40.5,14.7,0,0,"NTAFIN0002",2016-03-05,2016-03-05,18.724964933272,43.03809701181,36.7763163635259
"127","NTAFIN0002-58787",43.5,42.5,14,0.1,0,"NTAFIN0002",2019-05-28,2019-05-10,16.6067166404695,49.764676693719,32.2930262119496
"128","NTAFIN0003-53623",21.3,10.1,68.6,0,0,"NTAFIN0003",2011-09-24,2011-09-17,15.4448137964523,35.599086699329,47.6833019405704
"129","NTAFIN0003-58017",22.2,22.4,55.4,0,0,"NTAFIN0003",2016-03-04,2016-02-27,12.8901063023644,39.0805715646524,46.4704107038403
"130","NTAFIN0003-58788",29.5,22.1,48.3,0.1,0,"NTAFIN0003",2019-05-25,2019-05-25,9.82581383013125,45.3108770486412,43.4534567754162
"131","NTAFIN0004-53624",63,17.3,19.7,0,0,"NTAFIN0004",2011-10-06,2011-10-18,11.3692964596244,58.0023350655207,29.297418177035
"132","NTAFIN0004-58010",38.4,36,25.5,0,0,"NTAFIN0004",2016-03-02,2016-03-05,14.1294738770587,51.8313912078859,32.6059522035616
"133","NTAFIN0004-58789",39.3,35.8,24.8,0.1,0,"NTAFIN0004",2019-05-26,2019-05-26,11.5844274404629,51.8887088143976,35.1627515930869
"134","NTAFIN0005-53625",39.7,31.8,28.5,0,0,"NTAFIN0005",2011-10-05,2011-10-18,3.83515163093577,59.2013310278582,35.560683917966
"135","NTAFIN0005-58011",14.7,28.1,57.2,0,0,"NTAFIN0005",2016-03-06,2016-03-05,10.4929420548618,31.5049476784053,56.3988579494682
"136","NTAFIN0005-58736",16.8,20.9,62,0.3,0,"NTAFIN0005",2019-05-25,2019-05-25,8.1611070817715,31.7365254714279,58.3550006494966
"137","NTAFIN0006-53626",2.4,43.4,54.3,0,0,"NTAFIN0006",2011-10-07,2011-10-18,7.66847300472692,23.8361872956729,66.8939142103331
"138","NTAFIN0006-58012",12.3,27,60.7,0,0,"NTAFIN0006",2016-03-06,2016-03-05,13.8364277208839,27.0905029335949,57.2427456753687
"139","NTAFIN0006-58737",26,14.3,59.2,0.5,0,"NTAFIN0006",2019-05-26,2019-05-26,13.6465799216243,21.5938972482593,63.0463790079795
"140","NTAFIN0007-53627",9.1,50.2,40.7,NA,4,"NTAFIN0007",2011-10-12,2011-10-18,5.68323456728945,29.9040587895032,62.744958137828
"141","NTAFIN0007-58013",16.4,40.5,43.1,NA,4,"NTAFIN0007",2016-03-02,2016-03-05,10.1076661682866,25.9172299745381,62.0824926644015
"142","NTAFIN0007-58715",14,38,48,NA,4,"NTAFIN0007",2019-05-28,2019-05-10,7.33930589534195,21.4315453895917,69.3667626491052
"143","NTAFIN0008-53628",12,35.5,52.5,0,0,"NTAFIN0008",2011-10-13,2011-10-18,6.37497739221865,34.7072276338359,57.3416322900638
"144","NTAFIN0008-58014",41.8,34.8,23.5,0,0,"NTAFIN0008",2016-03-03,2016-03-05,7.52085615622655,41.6108015436514,49.3617592933309
"145","NTAFIN0008-58790",43.9,17.8,38.2,0.1,0,"NTAFIN0008",2019-05-30,2019-05-10,0.994213990343873,35.6515458225931,61.9333975621809
"146","NTAFIN0009-53629",26.9,25.5,47.5,0,0,"NTAFIN0009",2011-10-17,2011-10-18,8.61553400160082,25.994340102618,63.7331447963706
"147","NTAFIN0009-58015",25.6,25.4,48.9,0,0,"NTAFIN0009",2016-03-06,2016-03-05,15.8976543307334,27.2653439894612,55.2110876921211
"148","NTAFIN0009-58738",29.7,23.5,44.8,2.1,0,"NTAFIN0009",2019-05-27,2019-05-26,13.4157126155558,28.8210667041893,56.0758952347878
"149","NTAFIN0010-53630",15.8,24.9,59.3,0,0,"NTAFIN0010",2011-10-18,2011-10-18,8.0039105631199,13.2293709902049,77.1318261202047
"150","NTAFIN0010-58016",28.2,20,51.8,0,0,"NTAFIN0010",2016-03-07,2016-03-05,17.5201321819448,26.8073586069743,53.9262038663459
"151","NTAFIN0010-58786",27.2,19.9,52.6,0.3,0,"NTAFIN0010",2019-05-27,2019-05-26,10.7826764308946,21.9785401646824,65.4780999444214
"152","NTAFIN0011-53631",60.7,20.9,18.4,0,0,"NTAFIN0011",2011-10-20,2011-10-19,6.11077997443707,52.4115381191988,40.1409205358895
"153","NTAFIN0011-58019",32.3,30.2,37.4,0,0,"NTAFIN0011",2016-03-06,2016-03-05,15.0482095304054,39.3837409580385,43.8789821289756
"154","NTAFIN0011-58739",26,29.5,44.1,0.4,0,"NTAFIN0011",2019-05-27,2019-05-26,11.19022025446,35.2632138243541,51.8782953372659
"155","NTAFIN0012-53632",45.6,26.5,27.8,NA,4,"NTAFIN0012",2011-11-04,2011-11-04,2.94613075263186,59.767326455785,36.3648442630586
"156","NTAFIN0013-53633",38.5,28.7,32.8,NA,4,"NTAFIN0013",2011-11-05,2011-11-12,17.6781402807692,45.8954793142805,35.1072886092184
