"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","vegetation_type","relative_dominance","scaled_dom"
"140","NTAFIN0032",0,0,0.2,0,0,0,0.5,0,0,0,5,0,0,0,22.9,0,0,0,0,21.6,0,"Shrub",0.456175298804781,10.44641437
"141","NTAFIN0033",0,0,0.5,0,0,0,3.6,0,0,0,2.9,0,0,0,13.2,0,0,0,2.7,21.2,0,"Tussock.grass",0.480725623582766,10.19138272
"142","NTAGFU0001",0,0,0.3,0,0,0,3.1,0,0,0,0,0,0,0,9.3,0,0,5.7,0.9,39.6,0,"Tussock.grass",0.6723259762309,26.6241096
"143","NTAGFU0002",0,0,0,0,0,0,0.3,0,0,0,32.3,0,0,1.5,1.1,0,0,9.4,0,6.4,1.4,"Hummock.grass",0.616412213740458,19.91011406
"144","NTAGFU0003",0,0,0,0,0,0,2.8,0,0,0,6.3,0,0,0,0.5,0,0,24.3,0,18.5,0,"Tree.Mallee",0.463740458015267,11.26889415
"145","NTAGFU0004",0,0,0,0,0,0,1.5,0,0,0,24.3,0,0,0.3,2.7,0,0,0,0.4,2,0,"Hummock.grass",0.778846153846154,18.92596266
"146","NTAGFU0005",0,0,0,0,0,0,1,0,0,0,32.6,0,0,0.5,17.7,0,0,0,14,7.8,0.1,"Hummock.grass",0.442333785617368,14.42008188
"147","NTAGFU0006",0,0,0,0,0,0,7.1,0,0,0,13,0,0,0,2.7,0,0,0,6.3,54.7,0.1,"Tussock.grass",0.651966626936829,35.66257302
"148","NTAGFU0007",0,0,0,0,0,0,0.1,0,0,0,40.6,0,0,0.2,4.4,0,0,0,0,0.3,0,"Hummock.grass",0.890350877192982,36.14824654
"149","NTAGFU0008",0,0,0.1,0,0,0,3,0,0,0,17.5,0,0,5.5,0.1,0,0,1.9,0,10.5,0,"Hummock.grass",0.453367875647668,7.93393825
"150","NTAGFU0009",0,0,0,0,0,0,0.1,0,0,0,22.7,0,0,0,8.7,0,0,0.1,12.8,13.1,0.1,"Hummock.grass",0.394097222222222,8.94600644
"151","NTAGFU0010",0,0,0,0,0.2,0,0.4,0,0,0,40.9,0,0,0,0,0,0,18.8,0,0.1,0,"Hummock.grass",0.677152317880795,27.69552907
