"","site_unique","time","diff","bs","pv","npv","ue","npixels"
"389","QDASSD0002-58681","2018-06-19",-2,NA,NA,NA,NA,0
"390","QDASSD0003-56912","2014-04-29",-2,64,7,29,7,121
"391","QDASSD0003-57623","2015-04-08",-8,NA,NA,NA,NA,0
"392","QDASSD0003-58682","2018-06-19",-2,NA,NA,NA,NA,0
"393","QDASSD0004-56913","2014-04-29",-3,56,3,39,8,121
"394","QDASSD0004-57624","2015-04-16",0,NA,NA,NA,NA,0
"395","QDASSD0004-58683","2018-06-27",-2,NA,NA,NA,NA,0
"396","QDASSD0005-56914","2014-04-29",-3,58,3,38,8,121
"397","QDASSD0005-57625","2015-05-02",6,NA,NA,NA,NA,0
"398","QDASSD0005-58684","2018-06-19",-3,NA,NA,NA,NA,0
"399","QDASSD0006-56915","2014-05-06",3,59,8,35,7,121
"400","QDASSD0006-57626","2015-04-16",-2,NA,NA,NA,NA,0
"401","QDASSD0006-58685","2018-06-19",2,NA,NA,NA,NA,0
