"","site_location_name","Aquatic","Bryophyte","Chenopod","Cycad","Epiphyte","Fern","Forb","Fungus","Grass.tree","Heath.shrub","Hummock.grass","NC","Rush","Sedge","Shrub","Shrub.Mallee","Tree.fern","Tree.Mallee","Tree.Palm","Tussock.grass","Vine","vegetation_type"
"141","NTAFIN0033",0,0,0.5,0,0,0,3.6,0,0,0,2.9,0,0,0,13.2,0,0,0,2.7,21.2,0,"Tussock.grass"
"142","NTAGFU0001",0,0,0.3,0,0,0,3.1,0,0,0,0,0,0,0,9.3,0,0,5.7,0.9,39.6,0,"Tussock.grass"
"143","NTAGFU0002",0,0,0,0,0,0,0.3,0,0,0,32.3,0,0,1.5,1.1,0,0,9.4,0,6.4,1.4,"Hummock.grass"
"144","NTAGFU0003",0,0,0,0,0,0,2.8,0,0,0,6.3,0,0,0,0.5,0,0,24.3,0,18.5,0,"Tree.Mallee"
"145","NTAGFU0004",0,0,0,0,0,0,1.5,0,0,0,24.3,0,0,0.3,2.7,0,0,0,0.4,2,0,"Hummock.grass"
"146","NTAGFU0005",0,0,0,0,0,0,1,0,0,0,32.6,0,0,0.5,17.7,0,0,0,14,7.8,0.1,"Hummock.grass"
"147","NTAGFU0006",0,0,0,0,0,0,7.1,0,0,0,13,0,0,0,2.7,0,0,0,6.3,54.7,0.1,"Tussock.grass"
"148","NTAGFU0007",0,0,0,0,0,0,0.1,0,0,0,40.6,0,0,0.2,4.4,0,0,0,0,0.3,0,"Hummock.grass"
"149","NTAGFU0008",0,0,0.1,0,0,0,3,0,0,0,17.5,0,0,5.5,0.1,0,0,1.9,0,10.5,0,"Hummock.grass"
"150","NTAGFU0009",0,0,0,0,0,0,0.1,0,0,0,22.7,0,0,0,8.7,0,0,0.1,12.8,13.1,0.1,"Hummock.grass"
"151","NTAGFU0010",0,0,0,0,0.2,0,0.4,0,0,0,40.9,0,0,0,0,0,0,18.8,0,0.1,0,"Hummock.grass"
"152","NTAGFU0011",0,0,0,0,0,0,4.4,0,0,0,17.5,0,0,0,14.6,0,0,8.6,0,31.5,0,"Tussock.grass"
"153","NTAGFU0012",0,0,0,0,0,0,0.3,0,0,0,20,0,0,0.2,2.4,0,0,17.9,0,16.6,0,"Hummock.grass"
"154","NTAGFU0013",0,0,0,0,0,0,2.4,0,0,0,11.7,0,0,0,25.2,0,0,2,0.2,36.5,0.2,"Tussock.grass"
"155","NTAGFU0014",0,0,0,0,0,0,0.6,0,0,0,3.5,0,0,6.7,1.7,0,0,0,13.2,14,0,"Tussock.grass"
"156","NTAGFU0015",0,0,0,0,0,0,0,0,0,0,39.2,0,0,0.3,10.2,0,0,8.9,0,9.4,0,"Hummock.grass"
"157","NTAGFU0016",0,0,0,0,0,0,1.9,0,0,0,2.4,0,0,0,19.4,0,0,0.3,0.5,39.2,0,"Tussock.grass"
"158","NTAGFU0017",0,0,0,0,0,0,6.6,0,0,0,1.6,0,0,4.9,30.5,0,0,0,4.6,41.4,0.5,"Tussock.grass"
"159","NTAGFU0018",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0,37.7,28.5,0,"Tree.Palm"
"160","NTAGFU0019",0,0,0,0,0,0,3.1,0,0,0,11,0,0,0,9.8,0,0,3.3,8.3,34.5,0,"Tussock.grass"
"161","NTAGFU0020",0,0,0,0,0,0,1.8,0,0,0,14.7,0,0,0,35.4,0,0,0.5,0.4,46,0.3,"Tussock.grass"
"162","NTAGFU0021",0,0,0,0,0,0,0.1,0,0,0,22.3,0,0,0,24.5,0,0,6.1,0,14.7,0,"Shrub"
"163","NTAGFU0022",0,0,0,0,0,0,0.1,0,0,0,34.4,0,0,0,0.2,0,0,13.4,0,5.1,0,"Hummock.grass"
"164","NTAGFU0023",0,0,0,0,0,0,0,0,0,0,23.9,0,0,0,44.5,0,0,0,0.9,6.2,0,"Shrub"
"165","NTAGFU0024",0,0,0,0,0,0,1.8,0,0,0,28.7,0,0,0,13.5,0,0,0,4.6,6.7,0.2,"Hummock.grass"
"166","NTAGFU0025",0,0,0,0,0,0,0.3,0,0,0,0.5,0,0,1.3,54.4,0,0,0.1,0.4,50.1,0,"Shrub"
"167","NTAGFU0026",0,0,0,0,0,0,3.1,0,0,0,1.3,0,0,0.1,3.2,0,0,0,17.1,56.1,0,"Tussock.grass"
"168","NTAGFU0027",0,0,0,0,0,0,7,0,0,0,4.5,0,0,1.7,17.9,0,0,0,8,30.1,0.1,"Tussock.grass"
"169","NTAGFU0028",0,0,0,0,0,0,1.5,0,0,0,21,0,0,0,9.5,0,0,0,13.3,17.4,0,"Hummock.grass"
"170","NTAGFU0029",0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,2.5,0,0,0,12.5,57.9,0,"Tussock.grass"
"171","NTAGFU0030",0,0,0,0,0,0.2,1.2,0,0,0,0.5,0,0,0.7,3,0,0,0,48.8,28.1,0,"Tree.Palm"
"172","NTAGFU0031",0,0,0,0,0,0,0.4,0,0,0,5,0,0,0.5,29.6,0,0,0,2,25.4,0,"Shrub"
"173","NTAGFU0032",0,0,0,0,0,0,0.8,0,0,0,0.4,0,0,0.2,16,0.7,0,0,0.2,34.9,0,"Tussock.grass"
"174","NTAGFU0033",0,0,0,0,0,0,0.4,0,0,0,0,0,0,1.1,3.6,0,0,0,68.8,5,0,"Tree.Palm"
"175","NTAGFU0034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8,0,0,0,20.3,13.2,0,"Tree.Palm"
"176","NTAGFU0035",0,0,0,0,0,0,2.4,0,0,0,0.7,0,0,0.9,5.4,0,0,0,18.4,20.8,0,"Tussock.grass"
"177","NTAGFU0036",0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0.4,2.4,0,0,8.4,33.9,18.3,0,"Tree.Palm"
"178","NTAGFU0037",0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.8,15,0,0,0,17.8,47,0,"Tussock.grass"
"179","NTAGFU0038",0,0,0,0,0,0,0.9,0,0,0,0,0,0,0.4,3.8,0,0,3.3,48.7,21.1,0,"Tree.Palm"
