Label SW,site_location_name,site_location_id,established_date,point,latitude,longitude,threedcq,,,,
,NSAMDD0004,60216,29/05/2014,NE,-34.16446667,142.5604861,756,,,,
,NSAMDD0004,60216,29/05/2014,NW,-34.16446667,142.5593944,688,,,,
,NSAMDD0004,60216,29/05/2014,SE,-34.16536944,142.5604806,63,,,,
NSAMDD0004,NSAMDD0004,60216,29/05/2014,SW,-34.16536667,142.5594,891,,,,
,NSAMDD0005,59996,30/05/2014,CENTRE,-33.65569722,143.2043361,987,,,,
,NSAMDD0005,59996,30/05/2014,NE,-33.65529167,143.20495,339,,,,
,NSAMDD0005,59996,30/05/2014,NW,-33.65526944,143.2038694,446,,,,
,NSAMDD0005,59996,30/05/2014,SE,-33.65618889,143.2049583,910,,,,
NSAMDD0005,NSAMDD0005,59996,30/05/2014,SW,-33.65619444,143.2038667,635,,,,
,NSAMDD0006,60217,30/05/2014,CENTRE,-33.66384167,143.1670972,878,,,,
,NSAMDD0006,60217,30/05/2014,NE,-33.66340278,143.1675917,933,,,,
,NSAMDD0006,60217,30/05/2014,NW,-33.66341944,143.1665444,85,,,,
,NSAMDD0006,60217,30/05/2014,SE,-33.66431667,143.1676222,846,,,,
NSAMDD0006,NSAMDD0006,60217,30/05/2014,SW,-33.66431944,143.1665361,78,,,,
,NSAMDD0007,60231,30/05/2014,CENTRE,-33.37951389,141.1613361,629,,,,
,NSAMDD0007,60231,30/05/2014,NE,-33.37907778,141.1618889,826,,,,
,NSAMDD0007,60231,30/05/2014,NW,-33.37907222,141.1608111,848,,,,
,NSAMDD0007,60231,30/05/2014,SE,-33.37997778,141.1618861,94,,,,
NSAMDD0007,NSAMDD0007,60231,30/05/2014,SW,-33.37998056,141.1608111,699,,,,
,NSAMDD0008,60218,1/06/2014,CENTRE,-33.43046944,141.07255,770,,,,
,NSAMDD0008,60218,1/06/2014,NE,-33.43006111,141.0731083,272,,,,
,NSAMDD0008,60218,1/06/2014,NW,-33.43005833,141.0720333,707,,,,
