"","site_unique","Andropogoneae","Chloridoideae","non_applicable/no_tribe","latitude","longitude"
"253","NTASSD0013-53563",0,0.1,2.1,-25.5240472222222,135.139505555556
"254","NTASSD0014-53564",0,0,8.6,-25.1378694444444,135.3707
"255","NTASSD0015-53565",0,0.1,15.2,-25.1239333333333,135.616791666667
"256","NTASSD0016-53566",0,0.4,3.1,-25.1101138888889,135.507997222222
"257","NTASSD0017-53561",0,1,9.5,-25.4765888888889,135.258422222222
"258","NTASSD0018-53562",0,2.3,3.6,-25.1279333333333,135.522638888889
"259","NTASSD0019-53567",0,0.1,9.8,-25.0944083333333,135.640791666667
"260","NTASTU0001-58428",15.7,0,21,-15.8768583333333,133.411919444444
"261","NTASTU0002-58429",34.6,0,28.1,-15.7678388888889,133.378233333333
"262","NTASTU0003-58430",54.7,0,31.5,-15.70665,133.327522222222
"263","NTASTU0004-58426",26.5,0,80.2,-14.8638388888889,132.991402777778
"264","NTASTU0005-58427",0.3,0,71.4,-14.9086444444444,133.047788888889
"265","NTATAN0001-58874",0,0,55.1,-20.6995098,134.2054273
"266","NTATAN0002-58870",0.2,0.1,60.3,-20.7228814,134.2003669
"267","NTATAN0003-58871",0,0,36.5,-20.9215447,133.8713681
"268","NTATAN0004-58875",0.4,0.6,27.9,-20.9217778,133.886123
"269","NTTDAB0001-53580",12.6,0,81,-13.962875,131.673997222222
"270","NTTDAC0001-53755",41.3,0,85.5,-13.1398326944444,130.795687083333
"271","NTTDMR0001-53582",2.9,0.5,57.8,-18.0800416666667,133.684544444444
"272","NTTDMR0002-53581",1.7,0.3,55.8,-18.0724972222222,133.635022222222
"273","NTTDMR0003-53583",6.2,3.6,49.5,-18.0720444444444,133.666930555556
"274","NTTMGD0001-53521",6.9,0.9,53.8,-17.2829694444444,133.423894444444
"275","NTTPCK0001-53584",32.4,0,117.3,-12.8719611111111,131.126994444444
"276","NTTSTU0001-53585",16.1,2.9,99.2,-16.6302416666667,133.271158333333
"277","QDABBN0001-58730",0,0,108.6,-23.8590080555556,148.158248055556
"278","QDABBN0002-58741",0,1.8,80.8,-23.8698788888889,148.149388888889
"279","QDABBS0001-58708",1.6,0.1,96.5,-24.800125,147.769381944444
"280","QDABBS0002-58703",0.7,0.1,66,-24.8323980555556,147.641971944444
"281","QDABBS0003-58709",0,0,131.3,-24.8215838888889,147.741085
"282","QDABBS0004-58726",13.3,1.2,82.4,-24.7841438888889,147.759626944444
"283","QDABBS0005-58747",15.1,2.3,69.7,-24.7685211111111,147.766605
"284","QDABBS0006-58727",22.3,2.8,63.5,-27.15261,151.233411111111
"285","QDABBS0007-58711",1.8,8.8,49.1,-27.3291811111111,151.24217
"286","QDABBS0008-58728",1.8,6.7,98.2,-27.3308711111111,151.249343888889
"287","QDABBS0009-58729",0,8.3,101.5,-27.3856530555556,151.6128
"288","QDABBS0010-58963",0,3.3,179.4,-27.6579567354229,151.522344050851
"289","QDACHC0001-53592",0,0,13.2,-24.1046,143.257294444444
"290","QDACHC0002-53593",0,0.1,23.4,-24.1259555555556,143.169161111111
"291","QDACHC0003-53467",2.4,0.2,20.3,-24.1163777777778,143.164894444444
"292","QDACHC0004-53468",0.1,7.8,20.1,-23.7187722222222,141.091861111111
"293","QDACHC0005-53522",0.5,5.9,2.8,-23.721675,141.072305555556
"294","QDACHC0006-53469",0.2,8.6,7.3,-23.7694527777778,141.133497222222
"295","QDACHC0007-53517",0,0,11.4,-23.8356916666667,141.029094444444
"296","QDACYP0001-58585",0,0,90.5,-15.2782333333333,145.252838888889
"297","QDACYP0002-58586",0.2,0.1,95.5,-15.2845388888889,145.191505555556
"298","QDACYP0003-58587",0.7,0,145.1,-15.2767416666667,145.286319444444
"299","QDACYP0004-58588",24.5,0.2,79.1,-14.0928361111111,142.977058333333
"300","QDACYP0005-58589",20.6,17.1,79.2,-14.1426222222222,142.976261111111
"301","QDACYP0006-58591",48,0,60.2,-14.2266805555556,142.932519444444
"302","QDACYP0007-58592",36.5,1,113.7,-14.2265944444444,142.985219444444
"303","QDACYP0008-58593",7.6,0.4,86.8,-14.2982472222222,143.093208333333
"304","QDACYP0009-58594",48.8,0.8,72.3,-14.0673,143.208319444444
"305","QDACYP0010-58595",38.6,5.2,82.1,-13.0918611111111,142.772755555556
"306","QDACYP0011-58596",36.4,16,66.5,-13.206975,142.739772222222
"307","QDACYP0012-58597",0,0,242.3,-13.3202777777778,142.5913
"308","QDACYP0013-58598",61.9,1.2,55.4,-12.2021333333333,142.568680555556
"309","QDACYP0014-58599",15.1,11.6,106.3,-12.19935,142.549897222222
"310","QDACYP0015-58600",47.2,2,50.5,-12.2193638888889,142.538511111111
"311","QDACYP0016-58601",5.1,0,142,-11.4971583333333,142.430338888889
"312","QDACYP0017-58602",16.1,0,106.5,-11.5433055555556,142.439355555556
"313","QDACYP0018-58603",5.5,0,116.2,-11.0536333333333,142.366755555556
"314","QDACYP0019-58604",0.1,0,97.4,-10.7275416666667,142.490316666667
"315","QDACYP0020-58615",0,0.4,106.5,-10.9361666666667,142.466988888889
"316","QDACYP0021-58606",16.3,0,106,-10.937449,142.459743
"317","QDACYP0022-58607",5.6,1.6,109.5,-10.7881638888889,142.438255555556
"318","QDACYP0023-58608",58.9,0,72.5,-12.3322444444444,142.231052777778
"319","QDACYP0024-58609",40,0.1,89.6,-12.368075,142.204272222222
"320","QDADEU0001-58888",35.4,6.1,68.9,-20.5462170581868,146.129021077344
"321","QDAEIU0001-53470",54.6,0,2.5,-19.5387138888889,144.210019444444
"322","QDAEIU0002-53523",35.8,1.9,24.1,-19.5525,144.22415
"323","QDAEIU0003-53471",45.8,0,10.9,-19.4099083333333,144.169586111111
"324","QDAEIU0004-53524",74.6,0.8,21.9,-19.4465805555556,144.161472222222
"325","QDAEIU0005-53472",0,0,6.8,-18.4549388888889,143.899397222222
"326","QDAEIU0006-53473",21.2,0,79.5,-18.4678472222222,143.891697222222
"327","QDAEIU0007-53474",18.4,0,76.9,-18.4678416666667,143.890752777778
"328","QDAEIU0008-58882",17.9,10.2,66.6,-19.8878663419573,146.189186817774
"329","QDAEIU0009-58881",52,10.1,58.7,-19.887857715793,146.187218701618
"330","QDAEIU0010-58883",22.6,1.8,76.1,-19.8933742729914,146.182391024598
"331","QDAGUP0001-53526",0.2,0,55.1,-20.1087638888889,143.724355555556
"332","QDAGUP0002-53475",3.3,0.5,45.2,-20.0309972222222,143.762527777778
"333","QDAGUP0003-53527",1.8,0.1,42.4,-20.3992777777778,143.681688888889
"334","QDAGUP0004-53476",0,0.5,39.3,-20.0137333333333,142.477888888889
"335","QDAGUP0005-53528",0,0,58.1,-19.9913722222222,142.46505
"336","QDAGUP0006-53477",0,0,37.8,-19.95565,142.402102777778
"337","QDAGUP0007-53478",3.2,1.7,38.8,-20.084325,141.817025
