"","site_location_name","pit_marker_easting","pit_marker_northing","pit_marker_mga_zones","latitude","longitude"
"381","SAAFLB0030",212089,6679848,54,-29.9784833333333,138.015119444444
"384","NSAMDD0025",238927,6499741,55,-31.6085916666667,144.246994444444
"385","NSAMDD0006",700968,6273053,54,-33.6643194444444,143.166536111111
"386","NSAMDD0014",517985,6330177,54,-33.1679388888889,141.191816666667
"387","NSAMDD0019",378755,6326662,55,-33.1921472222222,145.699369444444
"388","NSAMDD0002",647643,6213973,54,-34.2048166666667,142.602588888889
"389","SATFLB0023",315352,6613199,54,-30.5994361111111,139.073613888889
"391","NTAFIN0015",319945,7287515,53,-24.5156972222222,133.222825
"392","NTASSD0013",514018,7177020,53,-25.5240472222222,135.139505555556
"393","NSAMDD0003",647879,6213770,54,-34.2075416666667,142.604063888889
"394","NSTSYB0003",273942,6287667,56,-33.5266944444444,150.565833333333
"395","NSTSYB0008",222938,6320345,56,-33.22035,150.027222222222
"396","NTAGFU0041",273033,8364937,53,-14.7799944444444,132.891461111111
"397","NSTSYB0009",255400,6281419,56,-33.5788305555556,150.364622222222
"398","NSAMDD0007",515057,6306571,54,-33.3799805555556,141.160811111111
"399","NSAMDD0026",234524,6497494,55,-31.6280111111111,144.201152777778
"401","NTAFIN0011",330050,7326835,53,-24.1618805555556,133.327180555556
"403","NTAARP0001",204648,8499580,53,-13.5572916666667,132.270091666667
"404","WAALSD0001",270449,7222422,51,-25.0966444444444,120.723963888889
"405","NTADAC0002",211290,8590324,53,-12.739225,132.340336111111
"406","WAACOO0024",273173,6658324,51,-30.1854222222222,120.644138888889
"407","NTAFIN0026",372754,7355479,53,-23.9072555555556,133.749905555556
"408","NTAGFU0020",602695,8150632,53,-16.724875,135.96335
"409","QDAMGD0023",498629,7380394,54,-23.6872416666667,140.986636111111
"410","NSAMDD0028",232484,6512605,55,-31.4914388888889,144.182816666667
"411","NTAMGD0003",334134.74,8080141.01,53,-17.3582083333333,133.438933333333
"412","NTASSD0011",511565,7181833,53,-25.4805472222222,135.115113888889
"413","NTASTU0001",329961,8244042,53,-15.8768583333333,133.411919444444
"414","NTTDAB0001",788910,8454740,52,-13.962875,131.673997222222
"415","NTAFIN0024",364602,7243512,53,-24.9175722222222,133.659202777778
"416","NTTDAC0001",694644,8546801,52,-13.1398326944444,130.795687083333
"418","NTAMAC0003",338073,7349381,53,-23.9590944444444,133.408488888889
"419","QDACHC0007",503066,7364056,54,-23.8356916666667,141.029094444444
"420","QDAGUP0014",477593,7983372,54,-18.2388388888889,140.787038888889
"421","QDAGUP0017",509136,8049492,54,-17.6413777777778,141.086263888889
"422","QDAGUP0021",499332,8120196,54,-17.0021916666667,140.993702777778
"423","QDAEIU0003",202743,7851366,55,-19.4099083333333,144.169586111111
"424","QDAMII0002",203003,7785232,54,-20.0078944444444,138.160591666667
"425","NSAMDD0027",233034,6513002,55,-31.4869194444444,144.189633333333
"426","SASMDD0004",475492.3,6238171,54,-33.9967638888889,140.734627777778
